;DayAheadForecast;LoadFactor;MonitoredCapacity;MostRecentForecast;RealTime;WeekAheadForecast
2017-01-01 00:00:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 00:15:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 00:30:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 00:45:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 01:00:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 01:15:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 01:30:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 01:45:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 02:00:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 02:15:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 02:30:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 02:45:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 03:00:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 03:15:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 03:30:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 03:45:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 04:00:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 04:15:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 04:30:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 04:45:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 05:00:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 05:15:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 05:30:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 05:45:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 06:00:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 06:15:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 06:30:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 06:45:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 07:00:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 07:15:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 07:30:00;0.0;0.0;460.1;0.0;0.0;-50.0
2017-01-01 07:45:00;0.79;0.02;460.1;0.09;0.09;-50.0
2017-01-01 08:00:00;4.72;0.86;460.1;4.11;3.97;-50.0
2017-01-01 08:15:00;11.74;1.81;460.1;8.43;8.31;-50.0
2017-01-01 08:30:00;18.85;3.18;460.1;15.65;14.62;-50.0
2017-01-01 08:45:00;26.4;4.86;460.1;23.72;22.35;-50.0
2017-01-01 09:00:00;33.54;6.33;460.1;31.99;29.11;-50.0
2017-01-01 09:15:00;39.13;7.91;460.1;39.93;36.38;-50.0
2017-01-01 09:30:00;43.89;9.48;460.1;47.35;43.63;-50.0
2017-01-01 09:45:00;49.73;11.13;460.1;53.16;51.19;-50.0
2017-01-01 10:00:00;55.01;13.3;460.1;58.72;61.2;-50.0
2017-01-01 10:15:00;57.8;15.76;460.1;64.54;72.53;-50.0
2017-01-01 10:30:00;58.56;17.3;460.1;69.8;79.59;-50.0
2017-01-01 10:45:00;57.89;18.78;460.1;74.35;86.39;-50.0
2017-01-01 11:00:00;56.78;19.88;460.1;77.82;91.47;-50.0
2017-01-01 11:15:00;55.05;18.79;460.1;79.56;86.45;-50.0
2017-01-01 11:30:00;52.7;17.16;460.1;79.58;78.95;-50.0
2017-01-01 11:45:00;49.65;15.14;460.1;78.55;69.66;-50.0
2017-01-01 12:00:00;46.69;12.6;460.1;76.25;57.98;-50.0
2017-01-01 12:15:00;44.25;9.7;460.1;71.38;44.61;-50.0
2017-01-01 12:30:00;41.95;7.81;460.1;64.22;35.93;-50.0
2017-01-01 12:45:00;39.23;6.47;460.1;56.63;29.77;-50.0
2017-01-01 13:00:00;36.19;5.25;460.1;49.1;24.14;-50.0
2017-01-01 13:15:00;32.89;4.5;460.1;41.94;20.69;-50.0
2017-01-01 13:30:00;29.39;3.76;460.1;36.59;17.29;-50.0
2017-01-01 13:45:00;25.68;3.02;460.1;31.53;13.88;-50.0
2017-01-01 14:00:00;21.75;2.4;460.1;26.16;11.03;-50.0
2017-01-01 14:15:00;17.52;1.8;460.1;20.27;8.27;-50.0
2017-01-01 14:30:00;13.03;1.27;460.1;14.49;5.85;-50.0
