;Bid;WeekAheadConfidence10;WeekAheadConfidence90;WeekAheadForecast;DayAheadConfidence10;DayAheadConfidence90;DayAheadForecast;MostRecentConfidence10;MostRecentConfidence90;MostRecentForecast;Realtime;LoadFactor;MonitoredCapacity
2017-01-01 00:00:00+01:00;;42.92;554.7;298.26;230.37;631.92;431.06;218.59;613.0;414.43;334.63;0.38;884.55
2017-01-01 00:15:00+01:00;;44.33;559.52;301.46;233.07;633.34;433.13;223.4;617.14;419.04;360.27;0.41;884.55
2017-01-01 00:30:00+01:00;;45.75;564.32;304.65;235.76;634.78;435.19;228.22;621.28;423.65;348.59;0.39;884.55
2017-01-01 00:45:00+01:00;;47.16;569.14;307.85;238.45;636.21;437.25;233.03;625.42;428.27;331.4;0.37;884.55
2017-01-01 01:00:00+01:00;;48.49;573.43;310.71;240.27;637.51;438.81;237.16;627.82;431.63;347.37;0.39;884.55
2017-01-01 01:15:00+01:00;;49.74;577.19;313.24;241.19;638.69;439.86;240.62;628.48;433.73;355.65;0.4;884.55
2017-01-01 01:30:00+01:00;;50.98;580.95;315.76;242.12;639.87;440.92;244.08;629.14;435.84;349.13;0.39;884.55
2017-01-01 01:45:00+01:00;;52.23;584.72;318.29;243.05;641.04;441.97;247.53;629.81;437.95;352.68;0.4;884.55
2017-01-01 02:00:00+01:00;;53.35;588.06;320.53;245.17;641.99;443.51;249.48;631.96;440.1;349.67;0.4;884.55
2017-01-01 02:15:00+01:00;;54.34;590.98;322.48;248.48;642.73;445.53;249.94;635.6;442.29;387.46;0.44;884.55
2017-01-01 02:30:00+01:00;;55.32;593.9;324.45;251.8;643.46;447.55;250.4;639.23;444.47;380.27;0.43;884.55
2017-01-01 02:45:00+01:00;;56.31;596.82;326.4;255.11;644.19;449.57;250.86;642.87;446.66;370.89;0.42;884.55
2017-01-01 03:00:00+01:00;;57.17;599.47;328.16;258.56;644.62;451.51;252.75;645.72;449.1;341.13;0.39;884.55
2017-01-01 03:15:00+01:00;;57.91;601.83;329.71;262.13;644.77;453.37;256.06;647.78;451.79;348.11;0.39;884.55
2017-01-01 03:30:00+01:00;;58.64;604.19;331.26;265.71;644.92;455.23;259.37;649.84;454.48;352.69;0.4;884.55
2017-01-01 03:45:00+01:00;;59.38;606.55;332.81;269.29;645.06;457.09;262.69;651.9;457.17;353.48;0.4;884.55
2017-01-01 04:00:00+01:00;;60.01;608.76;334.24;271.5;647.8;459.56;265.85;655.37;460.49;391.48;0.44;884.55
2017-01-01 04:15:00+01:00;;60.54;610.83;335.54;272.33;653.13;462.64;268.86;660.24;464.44;455.63;0.52;884.55
