Timestep;Load;LFS;LFW
1;10.108755;0;0.228470455
2;9.77162;0;0.231458864
3;9.35392;0;0.233897782
4;8.9798125;0;0.220636083
5;8.67585;0;0.267364387
6;8.531005;0;0.294353132
7;8.5334975;0;0.304417337
8;8.38965;0;0.282124116
9;8.50056;5.93E-05;0.261669327
10;8.7610525;0.015428681;0.282345952
11;9.1277125;0.059112938;0.27402711
12;9.4637675;0.103256084;0.261328924
13;9.7339425;0.10539898;0.261494664
14;9.7191975;0.073843971;0.296757628
15;9.53523;0.04949065;0.310081799
16;9.477875;0.021509391;0.272713944
17;9.526615;0.002319847;0.257445523
18;10.0389275;0;0.262985043
19;10.2443325;0;0.286625852
20;10.19417;0;0.237257192
21;9.9749;0;0.160333723
22;9.7358025;0;0.124481746
23;9.96842;0;0.085275459
24;10.0141875;0;0.13197444
25;9.550645;0;0.157063557
26;9.1602375;0;0.094708579
27;8.82932;0;0.102138803
28;8.59683;0;0.172572938
29;8.546285;0;0.198245968
30;8.7800575;0;0.200897798
31;9.3631375;0;0.210305419
32;9.697965;0;0.224360118
33;10.2720525;8.47E-07;0.265389539
34;10.701575;0.012809115;0.244501278
35;10.95351;0.057197793;0.232659837
36;11.199595;0.110105562;0.172423773
37;11.2659225;0.181048876;0.173897578
38;11.055615;0.197547735;0.228735638
39;10.8299325;0.12376811;0.178431187
40;10.84768;0.059529494;0.170642712
41;11.05596;0.00973066;0.218297882
42;11.823345;0;0.281369365
43;11.93087;0;0.287885472
44;11.58667;0;0.248494322
45;10.979085;0;0.22667027
46;10.5519625;0;0.174115589
47;10.80776;0;0.138987766
48;10.81322;0;0.118777762
49;10.27002;0;0.112115039
50;9.77725;0;0.129118624
51;9.4141625;0;0.153855863
52;9.18927;0;0.153506535
53;9.128215;0;0.159148048
54;9.46515;0;0.212522502
55;10.343565;0;0.212264969
56;10.99448;0;0.242795437
57;11.7607575;6.77E-06;0.301142072
58;11.99626;0.029738924;0.353890541
59;12.132875;0.10660801;0.33854435
60;12.3129425;0.193228077;0.387074114
61;12.067875;0.241207439;0.425287239
62;12.0538925;0.185107763;0.451669123
63;12.019375;0.075253659;0.46146177
64;12.130085;0.031157926;0.508919329
65;12.14696;0.004959733;0.560265387
66;12.7500725;0;0.579613547
67;12.661965;0;0.59602812
68;12.174555;0;0.600931455
69;11.59953;0;0.588619569
70;10.9865225;0;0.585702557
71;11.191095;0;0.618946051
72;11.0642675;0;0.593782989
73;10.4821175;0;0.599406653
74;10.03843;0;0.608593715
75;9.57653;0;0.590118874
76;9.34746;0;0.602149002
77;9.216565;0;0.587511665
78;9.6133425;0;0.548151114
79;10.3748425;0;0.490710945
80;11.02174;0;0.531470083
81;11.7653175;1.69E-06;0.531383388
82;12.0699925;0.007888329;0.546104869
83;12.2888;0.040568549;0.572454881
84;12.4496875;0.090976978;0.558360659
85;12.2873975;0.129759921;0.594124667
86;11.9788;0.146852288;0.589843491
87;11.833275;0.109381667;0.627190947
88;11.764635;0.056556025;0.63300075
89;11.8045;0.008731602;0.604878602
90;12.438195;0;0.566794244
91;12.63993;0;0.580073792
92;12.2126;0;0.563402961
93;11.6243325;0;0.551694111
94;11.1965125;0;0.520860213
95;11.424585;0;0.459252337
96;11.33671;0;0.413988913
97;10.81127;0;0.443748055
98;10.32612;0;0.436491221
99;9.905335;0;0.439491104
100;9.6596125;0;0.451611752
101;9.6064275;0;0.445068871
102;9.999535;0;0.447867317
103;10.72801;0;0.419219903
104;11.358795;0;0.36864517
105;12.048375;2.79E-05;0.335650285
106;12.3140025;0.035495364;0.20569659
107;12.2569575;0.117451182;0.167570159
108;12.405695;0.226092868;0.073560235
109;12.24019;0.286628195;0.111573198
110;12.04805;0.261897263;0.087196761
111;11.88089;0.166024052;0.080727826
112;12.0734275;0.078978116;0.099550719
113;12.1831375;0.013105446;0.094430647
114;12.93818;0;0.11536863
115;13.0502175;0;0.13478691
116;12.582685;0;0.126034596
117;12.0750025;0;0.120101127
118;11.57415;0;0.118455207
119;11.881085;0;0.099089198
120;11.8714975;0;0.09673315
121;11.4071725;0;0.115522895
122;11.0029825;0;0.126540739
123;10.5934825;0;0.117927391
124;10.331135;0;0.104591746
125;10.3309525;0;0.08877511
126;10.61116;0;0.0741008
127;11.370685;0;0.075323447
128;11.96174;0;0.078291457
129;12.68217;0.000284478;0.096566135
130;12.871485;0.039666856;0.096437368
131;12.78544;0.124015334;0.10358966
132;12.77618;0.236731995;0.113902474
133;12.5906725;0.297131009;0.115466799
134;12.3995925;0.287523114;0.105138686
135;12.1432475;0.197567208;0.090152021
136;12.2350975;0.09800002;0.101419749
137;12.284735;0.019321622;0.112614807
138;13.0398825;0;0.172849596
139;12.9446575;0;0.227821522
140;12.389855;0;0.2769148
141;11.9285925;0;0.341170681
142;11.308365;0;0.394190707
143;11.6497275;0;0.39687441
144;11.7609375;0;0.39929803
145;11.2878625;0;0.430952976
146;10.7468875;0;0.441830579
147;10.2320525;0;0.433651978
148;9.984105;0;0.411945219
149;9.7097375;0;0.415893642
150;9.73729;0;0.408137039
151;9.984845;0;0.456309826
152;10.2482;0;0.456386321
153;10.88445;1.52E-05;0.426894911
154;11.5163625;0.002007431;0.315351036
155;11.9330575;0.010475721;0.22106573
156;12.06205;0.020336768;0.12839192
157;12.17234;0.025006096;0.093410712
158;11.946;0.023068939;0.082006568
159;11.65553;0.018245518;0.078821822
160;11.5700875;0.008988987;0.090144372
161;11.6536;0.001509595;0.075097787
162;12.244885;0;0.075951982
163;12.1353325;0;0.068018165
164;11.7440175;0;0.059808967
165;11.1911475;0;0.035321611
166;10.853075;0;0.022168279
167;11.0129225;0;0.0358915
168;11.0569875;0;0.023513318
169;10.6016775;0;0.031971125
170;10.116965;0;0.036299473
171;9.6926825;0;0.035920823
172;9.3753575;0;0.027390344
173;9.3139275;0;0.037233988
174;9.2039525;0;0.03057764
175;9.31256;0;0.038079259
176;9.4301775;0;0.036619478
177;9.8047325;2.37E-05;0.030029426
178;10.3089125;0.011865936;0.023747903
179;10.8085225;0.041968078;0.020948182
180;11.1761175;0.063369096;0.023263434
181;11.3766475;0.071768807;0.020555508
182;11.18109;0.064649246;0.016548439
183;10.8389475;0.04618783;0.015546353
184;10.7417325;0.019080324;0.013327996
