date,load
2015-01-01T00:00:00.0,9484
2015-01-01T01:00:00.0,9484
2015-01-01T02:00:00.0,9152
2015-01-01T03:00:00.0,8799
2015-01-01T04:00:00.0,8567
2015-01-01T05:00:00.0,8487
2015-01-01T06:00:00.0,8428
2015-01-01T07:00:00.0,8122
2015-01-01T08:00:00.0,8179
2015-01-01T09:00:00.0,8340
2015-01-01T10:00:00.0,8677
2015-01-01T11:00:00.0,8899
2015-01-01T12:00:00.0,9092
2015-01-01T13:00:00.0,9088
2015-01-01T14:00:00.0,8940
2015-01-01T15:00:00.0,8919
2015-01-01T16:00:00.0,9017
2015-01-01T17:00:00.0,9664
2015-01-01T18:00:00.0,9914
2015-01-01T19:00:00.0,9852
2015-01-01T20:00:00.0,9573
2015-01-01T21:00:00.0,9422
2015-01-01T22:00:00.0,9896
2015-01-01T23:00:00.0,10062
2015-01-02T00:00:00.0,9489
2015-01-02T01:00:00.0,9001
2015-01-02T02:00:00.0,8571
2015-01-02T03:00:00.0,8321
2015-01-02T04:00:00.0,8277
2015-01-02T05:00:00.0,8517
2015-01-02T06:00:00.0,9000
2015-01-02T07:00:00.0,9226
2015-01-02T08:00:00.0,9769
2015-01-02T09:00:00.0,10243
2015-01-02T10:00:00.0,10557
2015-01-02T11:00:00.0,10781
2015-01-02T12:00:00.0,10770
2015-01-02T13:00:00.0,10606
2015-01-02T14:00:00.0,10320
2015-01-02T15:00:00.0,10225
2015-01-02T16:00:00.0,10394
2015-01-02T17:00:00.0,11212
2015-01-02T18:00:00.0,11429
2015-01-02T19:00:00.0,11057
2015-01-02T20:00:00.0,10516
2015-01-02T21:00:00.0,9993
2015-01-02T22:00:00.0,10362
2015-01-02T23:00:00.0,10440
2015-01-03T00:00:00.0,9880
2015-01-03T01:00:00.0,9295
2015-01-03T02:00:00.0,8901
2015-01-03T03:00:00.0,8551
2015-01-03T04:00:00.0,8536
2015-01-03T05:00:00.0,8619
2015-01-03T06:00:00.0,8921
2015-01-03T07:00:00.0,9010
2015-01-03T08:00:00.0,9605
2015-01-03T09:00:00.0,10117
2015-01-03T10:00:00.0,10705
2015-01-03T11:00:00.0,11068
2015-01-03T12:00:00.0,11128
2015-01-03T13:00:00.0,11004
2015-01-03T14:00:00.0,10816
2015-01-03T15:00:00.0,10834
2015-01-03T16:00:00.0,11072
2015-01-03T17:00:00.0,11515
2015-01-03T18:00:00.0,11503
2015-01-03T19:00:00.0,11098
2015-01-03T20:00:00.0,10692
2015-01-03T21:00:00.0,10232
2015-01-03T22:00:00.0,10425
2015-01-03T23:00:00.0,10421
2015-01-04T00:00:00.0,9941
2015-01-04T01:00:00.0,9447
2015-01-04T02:00:00.0,9010
2015-01-04T03:00:00.0,8725
2015-01-04T04:00:00.0,8591
2015-01-04T05:00:00.0,8495
2015-01-04T06:00:00.0,8625
2015-01-04T07:00:00.0,8763
2015-01-04T08:00:00.0,9054
2015-01-04T09:00:00.0,9587
2015-01-04T10:00:00.0,9981
2015-01-04T11:00:00.0,10434
2015-01-04T12:00:00.0,10619
2015-01-04T13:00:00.0,10391
2015-01-04T14:00:00.0,10139
2015-01-04T15:00:00.0,10001
2015-01-04T16:00:00.0,9950
2015-01-04T17:00:00.0,10873
2015-01-04T18:00:00.0,11355
2015-01-04T19:00:00.0,11331
2015-01-04T20:00:00.0,10944
2015-01-04T21:00:00.0,10534
2015-01-04T22:00:00.0,10646
2015-01-04T23:00:00.0,10669
2015-01-05T00:00:00.0,10040
2015-01-05T01:00:00.0,9666
2015-01-05T02:00:00.0,9262
2015-01-05T03:00:00.0,9052
2015-01-05T04:00:00.0,9118
2015-01-05T05:00:00.0,9527
2015-01-05T06:00:00.0,10777
2015-01-05T07:00:00.0,11968
2015-01-05T08:00:00.0,12433
2015-01-05T09:00:00.0,12602
2015-01-05T10:00:00.0,12627
2015-01-05T11:00:00.0,12703
2015-01-05T12:00:00.0,12468
2015-01-05T13:00:00.0,12433
2015-01-05T14:00:00.0,12359
2015-01-05T15:00:00.0,12319
2015-01-05T16:00:00.0,12357
2015-01-05T17:00:00.0,13126
2015-01-05T18:00:00.0,13226
2015-01-05T19:00:00.0,12773
2015-01-05T20:00:00.0,12155
2015-01-05T21:00:00.0,11486
2015-01-05T22:00:00.0,11697
2015-01-05T23:00:00.0,11651
2015-01-06T00:00:00.0,11068
2015-01-06T01:00:00.0,10657
2015-01-06T02:00:00.0,10281
2015-01-06T03:00:00.0,10054
2015-01-06T04:00:00.0,10078
2015-01-06T05:00:00.0,10415
2015-01-06T06:00:00.0,11568
2015-01-06T07:00:00.0,12541
2015-01-06T08:00:00.0,12966
2015-01-06T09:00:00.0,13055
2015-01-06T10:00:00.0,12973
2015-01-06T11:00:00.0,13002
2015-01-06T12:00:00.0,12819
2015-01-06T13:00:00.0,12794
2015-01-06T14:00:00.0,12760
2015-01-06T15:00:00.0,12728
2015-01-06T16:00:00.0,12851
2015-01-06T17:00:00.0,13511
2015-01-06T18:00:00.0,13551
2015-01-06T19:00:00.0,12984
2015-01-06T20:00:00.0,12372
2015-01-06T21:00:00.0,11706
2015-01-06T22:00:00.0,11872
2015-01-06T23:00:00.0,11783
2015-01-07T00:00:00.0,11079
2015-01-07T01:00:00.0,10511
2015-01-07T02:00:00.0,10177
2015-01-07T03:00:00.0,10019
2015-01-07T04:00:00.0,10003
2015-01-07T05:00:00.0,10361
2015-01-07T06:00:00.0,11397
2015-01-07T07:00:00.0,12471
2015-01-07T08:00:00.0,12856
2015-01-07T09:00:00.0,12799
2015-01-07T10:00:00.0,12662
2015-01-07T11:00:00.0,12769
2015-01-07T12:00:00.0,12580
2015-01-07T13:00:00.0,12561
2015-01-07T14:00:00.0,12507
2015-01-07T15:00:00.0,12503
2015-01-07T16:00:00.0,12646
2015-01-07T17:00:00.0,13388
2015-01-07T18:00:00.0,13398
2015-01-07T19:00:00.0,12779
2015-01-07T20:00:00.0,12210
2015-01-07T21:00:00.0,11580
2015-01-07T22:00:00.0,11651
2015-01-07T23:00:00.0,11735
2015-01-08T00:00:00.0,10996
2015-01-08T01:00:00.0,10519
2015-01-08T02:00:00.0,10083
2015-01-08T03:00:00.0,9803
2015-01-08T04:00:00.0,9828
2015-01-08T05:00:00.0,10238
2015-01-08T06:00:00.0,11277
2015-01-08T07:00:00.0,12299
2015-01-08T08:00:00.0,12731
2015-01-08T09:00:00.0,12854
2015-01-08T10:00:00.0,12926
