"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","01.01.2018 00:00 - 01.01.2018 01:00 (CET)","330","n/e","n/e","1499","0","0","n/e","n/e","n/e","165","","16","n/e","n/e","4950","510","n/e","0","193","811","1084"
"BZN|BE","01.01.2018 01:00 - 01.01.2018 02:00 (CET)","283","n/e","n/e","1500","0","0","n/e","n/e","n/e","1","","16","n/e","n/e","4950","515","n/e","0","192","818","1101"
"BZN|BE","01.01.2018 02:00 - 01.01.2018 03:00 (CET)","204","n/e","n/e","1566","0","0","n/e","n/e","n/e","0","","16","n/e","n/e","4800","513","n/e","0","194","812","1109"
"BZN|BE","01.01.2018 03:00 - 01.01.2018 04:00 (CET)","184","n/e","n/e","1552","0","0","n/e","n/e","n/e","0","","16","n/e","n/e","4577","540","n/e","0","194","810","1026"
"BZN|BE","01.01.2018 04:00 - 01.01.2018 05:00 (CET)","182","n/e","n/e","1515","0","0","n/e","n/e","n/e","0","","16","n/e","n/e","4522","525","n/e","0","195","809","995"
"BZN|BE","01.01.2018 05:00 - 01.01.2018 06:00 (CET)","181","n/e","n/e","1530","0","0","n/e","n/e","n/e","0","","15","n/e","n/e","4529","492","n/e","0","196","796","930"
"BZN|BE","01.01.2018 06:00 - 01.01.2018 07:00 (CET)","181","n/e","n/e","1523","0","0","n/e","n/e","n/e","0","","15","n/e","n/e","4527","538","n/e","0","197","772","868"
"BZN|BE","01.01.2018 07:00 - 01.01.2018 08:00 (CET)","187","n/e","n/e","1499","0","0","n/e","n/e","n/e","0","","15","n/e","n/e","4530","549","n/e","0","200","796","799"
"BZN|BE","01.01.2018 08:00 - 01.01.2018 09:00 (CET)","206","n/e","n/e","1463","0","0","n/e","n/e","n/e","0","","15","n/e","n/e","4530","534","n/e","0","202","800","786"
"BZN|BE","01.01.2018 09:00 - 01.01.2018 10:00 (CET)","208","n/e","n/e","1446","0","0","n/e","n/e","n/e","0","","15","n/e","n/e","4531","551","n/e","90","200","732","829"
"BZN|BE","01.01.2018 10:00 - 01.01.2018 11:00 (CET)","212","n/e","n/e","1400","0","0","n/e","n/e","n/e","0","","15","n/e","n/e","4530","561","n/e","293","200","764","730"
"BZN|BE","01.01.2018 11:00 - 01.01.2018 12:00 (CET)","208","n/e","n/e","1451","0","0","n/e","n/e","n/e","0","","15","n/e","n/e","4636","545","n/e","436","199","790","680"
"BZN|BE","01.01.2018 12:00 - 01.01.2018 13:00 (CET)","210","n/e","n/e","1436","0","0","n/e","n/e","n/e","100","","15","n/e","n/e","4862","547","n/e","242","200","768","622"
"BZN|BE","01.01.2018 13:00 - 01.01.2018 14:00 (CET)","208","n/e","n/e","1568","0","0","n/e","n/e","n/e","34","","15","n/e","n/e","4949","598","n/e","139","200","649","540"
"BZN|BE","01.01.2018 14:00 - 01.01.2018 15:00 (CET)","210","n/e","n/e","1493","0","0","n/e","n/e","n/e","31","","14","n/e","n/e","4946","666","n/e","63","199","447","417"
"BZN|BE","01.01.2018 15:00 - 01.01.2018 16:00 (CET)","217","n/e","n/e","1563","0","0","n/e","n/e","n/e","115","","13","n/e","n/e","4948","673","n/e","26","198","245","378"
"BZN|BE","01.01.2018 16:00 - 01.01.2018 17:00 (CET)","216","n/e","n/e","1713","0","0","n/e","n/e","n/e","374","","15","n/e","n/e","4949","693","n/e","2","201","59","264"
"BZN|BE","01.01.2018 17:00 - 01.01.2018 18:00 (CET)","214","n/e","n/e","1807","0","0","n/e","n/e","n/e","1081","","16","n/e","n/e","4950","705","n/e","0","198","188","184"
"BZN|BE","01.01.2018 18:00 - 01.01.2018 19:00 (CET)","213","n/e","n/e","1603","0","0","n/e","n/e","n/e","815","","16","n/e","n/e","4950","689","n/e","0","200","176","263"
"BZN|BE","01.01.2018 19:00 - 01.01.2018 20:00 (CET)","209","n/e","n/e","1504","0","0","n/e","n/e","n/e","355","","16","n/e","n/e","4946","602","n/e","0","197","196","549"
"BZN|BE","01.01.2018 20:00 - 01.01.2018 21:00 (CET)","203","n/e","n/e","1371","0","0","n/e","n/e","n/e","119","","16","n/e","n/e","4943","463","n/e","0","202","753","611"
