Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1;0.343037472827737;0.110345086829268;0.0118132747300724;0.0228698047280569;0.1721482602118;0.01611;0.04826;0;0;43221;2666.27;5083;0;1078.8;0;5083;1078.8;38138;1587.47
2;0.333894494707228;0.0998037214347202;0.00863169600188068;0.0309076231930357;0.187213609915047;0.01338;0.07523;0;0;43685;2666.08;4712;0;1216.6;0;4712;1216.6;38973;1449.48
3;0.338479639119963;0.0950524789670014;0.00792359807230534;0.0416721987061736;0.199079787035959;0.01355;0.10861;0;0;45086;2734.09;4694;0;1405;0;4694;1405;40392;1329.09
4;0.346189036168964;0.0808809854806313;0.00770065501318153;0.0527478192636371;0.208100951937624;0.0147;0.13027;0;0;49000;2996.29;4793;0;1415.7;0;4793;1415.7;44207;1580.59
5;0.359712654886959;0.0738840049354376;0.00935530636575823;0.06438056265474;0.219011240544629;0.01672;0.15071;0;0;57948;3695.96;5006;0;1406.1;0;5006;1406.1;52942;2289.86
6;0.361919567874997;0.0762553718220947;0.0117222528839857;0.0677825033942976;0.222057617828465;0.02255;0.17309;0;0;63469;4292.84;4982;529;1538.8;1.73;5511;1540.53;57958;2752.31
7;0.3205023276054;0.0675278596269727;0.0114256441489094;0.0635987668716556;0.213982644012568;0.03111;0.18115;0.0744028147765526;0.0217495998260113;65719;4457.16;4564;4992;1511.7;20.93;9556;1532.63;56163;2924.53
8;0.265748059991499;0.0350518655954089;0.00691804567360167;0.058501552591646;0.197689662516001;0.03416;0.16937;0.0101727628372234;0.00832700304480209;66062;4491.57;3758;11775;1507.3;61.77;15533;1569.07;50529;2922.5
9;0.355844802153541;0.057261304677188;0.00671556828371367;0.0601675337433112;0.176713175840801;0.03706;0.15186;0.439154308608437;0.17297727707699;67242;4547.83;3194;18096;1641.1;112.93;21290;1754.03;45952;2793.8
10;0.380311574878054;0.11563063276901;0.0133358676137222;0.0586917111253095;0.154222049342488;0.03932;0.13692;0.545878179994396;0.203534880382775;68284;4555.13;3886;22326;1744.8;167.96;26212;1912.76;42072;2642.37
11;0.358720260691805;0.134038950129125;0.0164348892583077;0.0536974267231052;0.138048970091935;0.03607;0.11887;0.604519650830744;0.324103157894737;67292;4487.03;4836;24364;1701.2;227.86;29200;1929.06;38092;2557.97
12;0.339573717894225;0.15121288045911;0.0189149088375061;0.0509040703617922;0.136568515070406;0.03063;0.10702;0.617139027514894;0.383561552849065;66838;4478.22;5199;24685;1615;238.45;29884;1853.45;36954;2624.77
13;0.322040046956909;0.164092524074605;0.0212143585713566;0.0546775716795783;0.14250703712324;0.02753;0.11008;0.597128301630027;0.34883855154415;65449;4386.21;4974;23012;1588.7;220.42;27986;1809.12;37463;2577.09
14;0.300398365211407;0.164129057560976;0.0226210168421406;0.0590542153182653;0.14917113929943;0.03053;0.11748;0.53495855608811;0.289805893866899;63346;4217.62;4665;19196;1722.8;171.95;23861;1894.75;39485;2322.87
15;0.268673341429352;0.147739876269727;0.0222384772555539;0.0589275445251977;0.150571560572559;0.03708;0.11995;0.428646745981634;0.19538896476729;60992;4144.3;4496;13317;1746;109.08;17813;1855.08;43179;2289.22
16;0.224470190863643;0.108057352195122;0.0178645047268819;0.0535980157335676;0.143191271965553;0.04422;0.11837;0.259547098414018;0.112156650717703;60208;4390.41;3946;6394;1650.9;50.78;10340;1701.68;49868;2688.73
17;0.170624995041188;0.0723322268005739;0.013809949557537;0.0433957012219471;0.144063323635517;0.04591;0.11617;0.0562206108193888;0.0167472401043932;60975;4335.17;3330;1115;1500;11.05;4445;1511.05;56530;2824.12
18;0.211531886372376;0.0832753558680058;0.0134864581129414;0.0422014539573516;0.15981893401606;0.04008;0.11398;0;0;64245;4345.93;3687;8;1469;0.11;3695;1469.11;60550;2876.82
