Timestep;Date;Time;Year;Month;Day;Hour;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1;1/01/2015;0:00;2015;1;1;0;0.00829710061327342;0.0693628275466284;0.314134440716673;0.345363217394777;0.352988828115908;0.70543;0.77923;0;0;40665;3210.98;8814;0;2464.5;0;8814;2464.5;31851;746.48
2;1/01/2015;1:00;2015;1;1;1;0.00779295403485336;0.0746958356384505;0.316146468456669;0.337727894337513;0.359436518096125;0.70618;0.78028;0;0;39510;3100.02;9054;0;2351.7;0;9054;2351.7;30456;748.32
3;1/01/2015;2:00;2015;1;1;2;0.0069827987936932;0.0869202178479197;0.323969919466694;0.348409601469531;0.389868833934598;0.70727;0.77925;0;0;38537;2980.39;9070;0;2381;0;9070;2381;29467;599.39
4;1/01/2015;3:00;2015;1;1;3;0.00611832938652418;0.0955516423529412;0.329643916477759;0.367250416899609;0.420990626091004;0.70521;0.77977;0;0;38153;2933.49;9164;0;2625.6;0.01;9164;2625.61;28989;307.88
5;1/01/2015;4:00;2015;1;1;4;0.00538625518651203;0.104108315064562;0.336266850234245;0.379602023800016;0.435315795414873;0.70221;0.78446;0;0;37927;2941.54;9232;0;3134.2;0.01;9232;3134.21;28695;-192.670000000001
6;1/01/2015;5:00;2015;1;1;5;0.00615415507923978;0.110842055208034;0.336837392473931;0.38273500479195;0.446637705108809;0.70051;0.78542;0;0;37921;2999.89;9688;0;3311.2;0.01;9688;3311.21;28233;-311.32
7;1/01/2015;6:00;2015;1;1;6;0.00851558200255024;0.125572100200861;0.341130725639346;0.38985443734526;0.46014223321308;0.70111;0.78375;0;0;39143;3176.8;10331;0;3555.9;0.01;10331;3555.91;28812;-379.11
8;1/01/2015;7:00;2015;1;1;7;0.0126101586819681;0.145609356671449;0.347119380249526;0.408628911029471;0.477960324682881;0.70271;0.78379;0.00352827470556861;0;39891;3292.27;10208;53;3759.2;0.03;10261;3759.23;29630;-466.96
9;1/01/2015;8:00;2015;1;1;8;0.0156990531706034;0.171176965624103;0.357945029133713;0.41896293706573;0.480192791807285;0.70434;0.78474;0.0388110217612547;0.0358868682035668;41618;3378.64;10029;773;3907.1;1.5;10802;3908.6;30816;-529.96
10;1/01/2015;9:00;2015;1;1;9;0.0137752099904872;0.202744777274032;0.379264536496902;0.43205446489897;0.486216971953916;0.70805;0.78653;0.12284576894571;0.00963047846889952;43858;3562.9;10550;2116;3933.6;6.18;12666;3939.78;31192;-376.88
11;1/01/2015;10:00;2015;1;1;10;0.0155662365656688;0.251648526140603;0.402292964384666;0.437768064451721;0.484366266728733;0.71127;0.78579;0.173168752702506;0.0268500260983036;46208;3736.05;11390;3364;3968.5;8.42;14754;3976.92;31454;-240.87
12;1/01/2015;11:00;2015;1;1;11;0.0204494917724209;0.30532681492109;0.421463325071785;0.449554592284961;0.486130553939253;0.71315;0.78653;0.192741663477923;0.0167067855589387;47556;3837.81;12103;4198;3937.5;8.23;16301;3945.73;31255;-107.92
13;1/01/2015;12:00;2015;1;1;12;0.0285787811443723;0.352981457905308;0.435768167514651;0.452826336554588;0.483682966367974;0.714;0.78585;0.197403106702068;0.0162071422357547;46674;3878.28;12505;3500;3892.4;6.17;16005;3898.57;30669;-20.29
14;1/01/2015;13:00;2015;1;1;13;0.0357512761349606;0.391630851994261;0.464336022400215;0.460753788036099;0.491540670313045;0.71395;0.78656;0.148960152532911;0.0163174989125707;45923;3856.4;11921;2279;3647.7;2.2;14200;3649.9;31723;206.5
