Timestep;Onshore_DE_south;Onshore_DE_mid;Onshore_DE_north;Onshore_DK_south;Onshore_DK_north;Offshore_DE;Offshore_DK;PV_DE;PV_DK;Total_load_DE;Total_load_DK;Wind_gen_DE;PV_gen_DE;Wind_gen_DK;PV_gen_DK;RES_gen_DE;RES_gen_DK;Residual_load_DE;Residual_load_DK
1;0.885175599813792;0.866917590243902;0.78984395795342;0.314347405957991;0.372497707436285;0.70435;0.75868;0;0;48352;3164.67;24939;0;2724.2;0;24939;2724.2;23413;440.47
2;0.872308368449815;0.859354390473458;0.777208403640455;0.338803717754173;0.381170649365763;0.7087;0.7764;0;0;48678;3190.47;24468;0;2825.1;0;24468;2825.1;24210;365.37
3;0.860222440140061;0.85391086071736;0.769602218528034;0.356020481590927;0.370134959851042;0.71317;0.78481;0;0;49692;3238.42;24426;0;2826.7;0;24426;2826.7;25266;411.72
4;0.866581828485842;0.854769327632712;0.769207135526338;0.360660257966616;0.334788477830792;0.71615;0.78763;0;0;53104;3467.57;24131;0;2804.3;0.01;24131;2804.31;28973;663.26
5;0.865639734450584;0.858950294519369;0.773815918056185;0.359214295982749;0.324162881415105;0.71636;0.78659;0;0;58818;3885.09;23854;2;2807.2;0.07;23856;2807.27;34962;1077.82
6;0.866301906207622;0.858758516499283;0.778444275787954;0.373726909591886;0.339292719655534;0.71614;0.78662;0;0.00553495432796868;64013;4387.2;23817;490;2964.9;17.49;24307;2982.39;39706;1404.81
7;0.842640430708199;0.851175884533716;0.781521060232062;0.404877133216197;0.36828991039218;0.71614;0.78725;0.0410516049684406;0.0658515202261853;67470;4789.79;24672;2522;3336.5;77.06;27194;3413.56;40276;1376.23
8;0.83974202157589;0.889715790760402;0.787356898829614;0.433677550914464;0.415434586291167;0.71615;0.78917;0.116124019324152;0.159479652022619;70065;4905.5;26423;5215;3756;135.53;31638;3891.53;38427;1013.97
9;0.868217625437691;0.855631727058824;0.820444961630816;0.461346827729415;0.469819521703712;0.71632;0.79039;0.19354003220692;0.236653410178338;71341;5018.52;27214;8107;3998.2;190.15;35321;4188.35;36020;830.170000000001
10;0.851794797093529;0.857867344964132;0.842883993417628;0.49746292308921;0.515616302804608;0.71637;0.79157;0.232685853757754;0.349968355806873;72894;4944.91;27514;10768;4228;237.97;38282;4465.97;34612;478.94
11;0.849935273949036;0.848118718622669;0.849724445317616;0.522871937944254;0.542750635400908;0.71651;0.79316;0.269874384231047;0.411762079164854;71881;4901.02;26861;12644;4295.8;306.77;39505;4602.57;32376;298.450000000001
12;0.880510390430506;0.844257670473458;0.855113519386093;0.539300643319224;0.556057395554521;0.71668;0.79418;0.30255599446;0.486838046976946;70194;4842.37;27095;13663;4290.4;323.48;40758;4613.88;29436;228.490000000001
13;0.905625440524622;0.855802660889527;0.850937881450137;0.546645304288795;0.561976603048993;0.71621;0.79429;0.317209923711595;0.50158281861679;70112;4711.46;26929;13933;4317.6;334.76;40862;4652.36;29250;59.0999999999995
14;0.908697263950452;0.857251197245337;0.833842010713146;0.549200101429598;0.563938947980915;0.7168;0.79435;0.297688520596113;0.481327994780339;68853;4525.88;26806;12634;4355.2;308.34;39440;4663.54;29413;-137.66
15;0.868774802355941;0.842979339913917;0.801405206589089;0.543532707850811;0.563416070057023;0.7173;0.79598;0.235183975264617;0.411253684210526;67344;4436.61;26193;9646;4299.9;234.65;35839;4534.55;31505;-97.9399999999996
16;0.788357853745421;0.773492752137733;0.744928428055681;0.513748670234007;0.551907906435471;0.71664;0.79364;0.158386054301073;0.29471140060896;65807;4559.6;25624;6064;4230.9;160.4;31688;4391.3;34119;168.300000000001
17;0.712187720768312;0.745629594031564;0.695035628969154;0.459844021643639;0.511915730245549;0.71626;0.79098;0.0818714254671723;0.154823236189648;64828;4474.43;24512;2681;3991;72.53;27193;4063.53;37635;410.9
18;0.704356258829721;0.72574189302726;0.681046107836717;0.413090063094002;0.457550862329803;0.71613;0.78581;0.0162764205395574;0.0224274249673771;65019;4312.76;22650;336;3464.5;12.45;22986;3476.95;42033;835.81
19;0.70663830590807;0.721953353802009;0.663277433848841;0.370806014695312;0.392792982660305;0.71613;0.78295;0;0;64607;4318.7;20598;5;2952.6;0.07;20603;2952.67;44004;1366.03
20;0.739768740461878;0.711604649411765;0.642347645861669;0.325029498841945;0.328014627021995;0.71634;0.77411;0;0;60234;4123.9;19132;0;2684.1;0.01;19132;2684.11;41102;1439.79
21;0.768976734875625;0.715402060143472;0.610714398502174;0.271915806644837;0.264014160363086;0.71613;0.75227;0;0;57626;3802.24;18525;0;2436.9;0;18525;2436.9;39101;1365.34
22;0.832029428825875;0.74083279954089;0.570923771766326;0.218456931954317;0.208571974863261;0.71494;0.7236;0;0;52746;3467.35;18534;0;2239.7;0;18534;2239.7;34212;1227.65
23;0.812785523104014;0.758485342553802;0.528812784007523;0.172385364188164;0.168159015477714;0.71111;0.70073;0;0;46826;3235.45;18133;0;2152;0;18133;2152;28693;1083.45
